Id,State,PostalCode,Categories,PriceRangeMax
108,CA,94619,"Pizza,Restaurant,Indian,Pizza Place,Restaurants",25
109,CA,90014,"Restaurant,Pizza Restaurants,Pizza Place,Restaurants",25
110,CA,92707,"Pizza,Restaurant,Pizza Place",25
111,CA,93033,Pizza Place,25
112,CA,94066,"Pizza Place,Catering,Restaurants",40
113,CA,92543,Pizza Place,25
114,CA,93117,Pizza Place,25
115,CA,92107,Pizza Place,25
116,CA,96150,"Pizza,Restaurant,Pizza Place",25
117,CA,92260,Pizza Place,25
118,CA,90277,"Pizza,Restaurant,Pizza Place South Redondo Beach,Pizza Place",25
119,CA,91344,"Pizza Place,Pizza Place Granada Hills South",25
120,CA,94954,Pizza Place,25
121,CA,92069,"Pizza,Restaurant,Pizza Place",25
122,CA,92627,"Pizza,Restaurant,Caterers,Pizza Place,Restaurants",40
123,CA,90740,"Restaurant,Pizza Place",25
124,CA,91360,"Pizza,Pizza Place,Restaurants",40
125,CA,93901,"Restaurant,Pizza Place,Restaurants",25
126,CA,94109,Pizza Place,40
127,CA,94063,"Restaurant,Pizza Place",25
128,CA,95820,"Restaurant,Pizza Place",40
129,CA,92104,"Pizza Place Normal Heights,Pizza Place",25
130,CA,92612,Pizza Place,40
131,CA,91790,Pizza Place,25
132,CA,92806,Pizza Place,25
133,CA,96002,Pizza Place,25
134,CA,92860,"Pizza,Restaurant,Pizza Place,Restaurants",25
135,CA,90717,"Restaurant,Pizza Place",25
136,CA,92252,"Restaurant,Pizza Place",25
137,CA,90010,Pizza Place,40
138,CA,92109,"Pizza Place Pacific Beach,Pizza Place",25
139,CA,91607,Pizza Place,25
140,CA,92629,"Brewery,Pizza,Pizza Place and Brewery,Pizza Place,Restaurants",25
141,CA,92870,Pizza Place,25
142,CA,92008,"Restaurant,Pizza Place",25
143,CA,92081,"Pizza,Restaurant,Caterers,Pizza Place,Restaurants",25
144,CA,91364,"Italian Restaurant,Pizza Place and Italian Restaurant,Pizza Place",25
145,CA,94506,Pizza Place,25
146,CA,90025,"Italian Restaurant,Pizza Place",25
147,CA,92867,"Pizza,Restaurant,Pizza Place,Restaurants",25
148,CA,94930,"Pizza,Restaurant,Pizza Place,Restaurants",25
149,CA,92804,Pizza Place,25
150,CA,90745,Pizza Place,25
151,CA,94040,Pizza Place,40
152,CA,90066,Pizza Place,40
153,CA,92407,Pizza Place,25
154,CA,94117,"Pizza,Restaurant,American restaurants,Pizza Place,Restaurants",25
155,CA,90250,"Pizza,Italian restaurants,Pizza Place,Restaurants",25
156,CA,93277,"Restaurant,Pizza Place",25
157,CA,92647,Pizza Place,25
158,CA,93309,"Restaurant,Pizza Place",25
159,CA,90405,"Restaurant,Pizza Place",40
160,CA,90245,"Restaurant,Pizza Place",25
161,CA,94598,"Pizza,Take Out Restaurants,Pizza Place,Restaurants",25
162,CA,92705,"Pizza Place,Restaurants",40
163,CA,95928,"Pizza Place,Restaurants",25
164,CA,94117,"Pizza,Restaurant,Pizza Place Lower Haight,Pizza Place,Restaurants",25
165,CA,92118,"Pizza,Restaurant,Italian restaurants,Pizza Place,Restaurants",25
166,CA,95148,"Pizza,Restaurant,American Restaurants,Pizza Place Evergreen,Pizza Place,Restaurants",25
167,CA,94010,"Pizza,American Restaurants,Caterers,Pizza Place,Restaurants",40
168,CA,95014,"Pizza Place,Restaurants",25
169,CA,94579,"Pizza,Take Out Restaurants,Pizza Place,Restaurants",25
170,CA,92008,"Restaurant,Pizza Place,Restaurants",25
171,CA,92024,"Pizza,Restaurant,Pizza Place,Restaurants",25
172,CA,90041,"Pizza,Pizza Place,Restaurants",40
173,CA,94928,"Pizza,Restaurant,Pizza Place,Restaurants",40
174,CA,91344,"Pizza Place,Restaurants",25
175,CA,94596,"Pizza,Restaurant,Pizza Place,Restaurants",25
176,CA,94618,"Pizza,Restaurant,Pizza Restaurants,Italian,Pizza Place,Restaurants",40
177,CA,92123,"Pizza,Italian Restaurant,Restaurant,Pizza Restaurants,Pizza Place,Restaurants",25
178,CA,90740,"Pizza,Restaurant,Chain Restaurant,Pizza Place,Restaurants",25
179,CA,91303,"Restaurant,Pizza Place Warner Center,Pizza Place,Restaurants",40
180,CA,93631,"Restaurant,Pizza Place,Restaurants",25
181,CA,95337,"Restaurant,Pizza Place,Restaurants",40
182,CA,92117,"Pizza,Restaurant,Pizza Place,Restaurants",25
183,CA,94087,"Pizza Place,Catering,Restaurants",25
184,CA,90028,"Pizza,Restaurant,Chain Restaurant,Pizza Place,Restaurants",40
185,CA,93637,"Restaurant,Pizza Place",25
186,CA,90247,"Pizza,Restaurant,Pizza Place,Restaurants",25
187,CA,90028,"Pizza,Restaurant,Pizza Place,Restaurants",25
188,CA,93003,"Pizza,Restaurant,Pizza Place,Restaurants",40
189,CA,94952,"Pizza,Bars Pubs,Pizza Place,Restaurants",40
190,CA,95603,"Pizza,Pizza Place,Restaurants",40
191,CA,92056,"Pizza,Restaurant,Pizza Place,Restaurants",40
192,CA,92064,"Restaurant,Pizza Place",25
193,CA,95336,"Pizza Place,Restaurants",25
194,CA,95690,"Restaurant,Pizza Place,Restaurants",25
195,CA,94114,Pizza Place,33
196,CA,94703,"Pizza,Restaurant,Pizza Place,Restaurants,Italian Restaurants",25
197,CA,92509,"Pizza,Food and Beverage,Pizza Place,Restaurants",25
198,CA,91607,"Pizza,Caterers,Italian restaurants,Pizza Place,Restaurants",25
199,CA,95376,Pizza Place,25
200,CA,91750,"Pizza,Restaurant,Italian restaurants,Pizza Place,Restaurants",25
201,CA,91773,"Pizza,Restaurant,Pizza Place,Restaurants",25
202,CA,90024,"Pizza,Restaurant,Pizza Place Westwood Village,Pizza Restaurants,American restaurants,Italian restaurants,Pizza Place,Restaurants",25
203,CA,92870,"Pizza,American Restaurants,Pizza Place,Restaurants",25
204,CA,91776,"Pizza,Restaurant,Italian restaurants,Pizza Place,Restaurants",25
205,CA,94110,"Pizza,Restaurant,Pizza Place,Restaurants",25
206,CA,90503,"Pizza,Restaurant,Karaoke,Pizza Place,Restaurants",25
207,CA,92808,"Restaurant,Pizza Place",25
208,CA,90405,"Pizza,Restaurant,Pizza Place,Pizza Place West Los Angeles,Restaurants",25
209,CA,94116,"Pizza,Restaurant,Italian restaurants,Pizza Place,Restaurants",25
210,CA,92869,"Pizza,Restaurant,Pizza Place,Restaurants",40
211,CA,91106,"Pizza,Restaurant,Chain Restaurant,Pizza Place,Restaurants",25
212,CA,94089,"Pizza,Restaurant,Italian restaurants,Pizza Place,Restaurants",40
213,CA,93230,"Hanford Restaurants,Pizza Place",25
214,CA,95060,Pizza Place,25
215,CA,94044,"Restaurant,Pizza Place",25
216,CA,92532,Pizza Place,25
217,CA,91436,"Restaurant,Pizza Place",40
218,CA,93401,"Pizza,Take Out Restaurants,Pizza Place,Restaurants",25
219,CA,92021,"Italian Restaurant,Pizza Place",40
220,CA,91316,Pizza Place,25
221,CA,90025,Pizza Place,25
222,CA,95127,"Pizza,Restaurant,Pizza Place",25
223,CA,90042,"Pizza,Italian Restaurant,Restaurant,Pizza Restaurants,Pizza Place and Italian Restaurant,Pizza Place,Restaurants",25
224,CA,90046,"Pizza Restaurants,Pizza Place",25
225,CA,93105,"Restaurant,Pizza Place",40
226,CA,90266,"Pizza,Restaurant,Italian,American,Pizza Place",40
227,CA,93313,"Restaurant,Pizza Place",25
228,CA,94560,"Pizza,Restaurant,Chain Restaurant,Pizza Place,Restaurants",25
229,CA,92020,"Pizza,Restaurant,Italian,Chain Restaurant,Pizza Place",25
230,CA,91362,"Restaurant,Pizza Place",40
231,CA,95815,"Restaurant,Pizza Place,Pizza Place Arden Fair",40
232,CA,90712,"Pizza,Restaurant,Italian,Pizza Place,Salad,Californian",40
233,CA,90049,"Restaurant,Pizza Place",40
234,CA,94560,"Restaurant,Pizza Place",25
235,CA,90049,"Restaurant,Pizza Place",25
236,CA,95822,"Pizza,Restaurant,Pizza Place",25
