Id,City,Name,Address,Coordinates,StateCode
297,Brooklyn,OMG Pizza,1307 Myrtle Ave,[40.698128] [-73.925081],NY
298,Brooklyn,Pizzatown,85 5th Ave,[40.680023] [-73.978003],NY
299,Brooklyn,Piz-zetta,90 Livingston St,[40.691267] [-73.990643],NY
300,Brooklyn,Layla Jones,214 Court St,[40.686664] [-73.99383],NY
301,Brooklyn,Forcella La Pizza Di Napoli,485 Lorimer St,[40.711535] [-73.949063],NY
302,Brooklyn,City Line Pizza and Pasta,1224 Liberty Ave,[40.67906] [-73.86384],NY
303,Brooklyn,Krispy Pizza - Brooklyn,7112 13th Ave,[40.62231] [-74.005429],NY
304,Brooklyn,Luigi's Pizzeria,326 Dekalb Ave,[40.689665] [-73.965454],NY
305,Brooklyn,Oregano,102 Berry St,[40.719044] [-73.958595],NY
306,Brooklyn,Angelo's Pizza,2117 Cortelyou Rd,[40.644086] [-73.958112],NY
307,Brooklyn,Bona Pizza,1204 Flatbush Ave,[40.641] [-73.95613],NY
308,Brooklyn,The Sicilian,229 Prospect Park W,[40.659941] [-73.980558],NY
309,Brooklyn,Fornino,849 Manhattan Ave,[40.729058] [-73.953842],NY
310,Brooklyn,Daddy Greens,352 Malcolm X Blvd,[40.680796] [-73.928618],NY
311,Brooklyn,Da Nonna Rosa,140 7th Ave,[40.672844] [-73.976813],NY
312,Brooklyn,Knapp St Pizza,2129 Knapp St,[40.599942] [-73.933833],NY
313,Brooklyn,Roma Pizza,85 7th Ave,[40.67467] [-73.975199],NY
314,Brooklyn,Pizza D'Amore,8949 Bay Pkwy,[40.595262] [-74.000735],NY
315,Brooklyn,Graziella's,232 Vanderbilt Ave,[40.69048819] [-73.96951834],NY
316,Brooklyn,Giardini Pizza,363 Smith St,[40.6795046] [-73.995379],NY
317,Brooklyn,Roberta's Pizza,261 Moore St,[40.70508] [-73.93359],NY
318,Brooklyn,Napoli's Pizza,594 Crescent St,[40.67296847] [-73.87084187],NY
319,Brooklyn,Bene Restaurant & Pizzeria,157 Prospect Park SW,[40.654808] [-73.97359],NY
320,Brooklyn,Joe's Pizza of the Village,349 5th Ave,[40.671802] [-73.984187],NY
321,Brooklyn,Antonio's Pizzeria,318 Flatbush Ave,[40.67703] [-73.97234],NY
322,Brooklyn,Original Mike's Pizza,3337 Fulton St,[40.68367] [-73.872607],NY
323,Broomall,Alfredos,2900 W Chester Pike,[39.983113] [-75.37139],PA
324,Broomall,Italian Delight,2052 Sproul Rd,[39.96698] [-75.35975],PA
325,Broomfield,Double Ds Sourdough Pizzeria and Taphouse,"535 Zang St, Broomfield, CO",[39.927562] [-105.133654],CO
326,Brunswick,FatBobs Pizza,1739 Pearl Rd,[41.227417] [-81.840927],OH
327,Bryan,DoubleDave's Pizza Works,2305 Boonville Rd,[30.6735] [-96.3353],TX
328,Bucyrus,Baker's Pizza Sports Shack,224 N Sandusky Ave,[40.8102] [-82.9755],OH
329,Buffalo,Macys Place Pizzeria,3348 Genesee St,[42.925755] [-78.761238],NY
330,Buffalo,Just Pizza Wing Co,2350 Delaware Ave,[42.948045] [-78.868886],NY
331,Buffalo,Partners Pizzeria,934 Niagara Falls Blvd,[42.979603] [-78.823359],NY
332,Buffalo,Franco's Pizza,1924 Eggert Rd,[42.9771] [-78.8141],NY
333,Buffalo,Broadway Bobbys,677 Ridge Rd,[42.825636] [-78.826461],NY
334,Buffalo,Dough Bois,56 Niagara St,[42.885172] [-78.876925],NY
335,Buffalo,Pat's Pizzeria,544 Ontario St,[42.958246] [-78.896041],NY
336,Buffalo,La Nova Pizzeria,371 W Ferry St,[42.915339] [-78.887454],NY
337,Buffalo,La Nova Pizzeria,5151 Main St,[42.960153] [-78.760884],NY
338,Buffalo,Chuck's North Street Pizzeria,35 North St,[42.902221] [-78.870603],NY
339,Buffalo,Tony's Pizza,3680 Harlem Rd,[42.943983] [-78.784346],NY
340,Buffalo,Gino & Joe's Pizza,400 Main St,[42.88525446] [-78.87497322],NY
341,Buffalo,Toni Pepperoni,4224 Maple Rd,[42.99236] [-78.80467],NY
342,Buffalo,Pepe's,640 Colvin Ave,[42.95816839] [-78.859217],NY
343,Buffalo,Partner's Pizzeria,395 Shanley St,[42.882531] [-78.798653],NY
344,Buffalo,Picasso's Pizza,6812 Transit Rd,[42.95314] [-78.69737],NY
345,Buffalo,Carbone's Pizzeria,1126 E Lovejoy St,[42.88975893] [-78.80674718],NY
346,Buford,Marco's Pizza,5965 Cumming Hwy,[34.1203] [-84.0775],GA
347,Burlingame,Blue Line Pizza,1108 Burlingame Ave,[37.5796] [-122.3457],CA
348,Burlington,Brixx Wood Fired Pizza,1022 Boston Dr,[36.0705] [-79.5087],NC
349,Cañon City,Papa Johns Pizza,1520 Royal George Blvd,[38.445972] [-105.225826],CO
350,Cadiz,DiAngelos,114 E Market St,[40.272624] [-80.996825],OH
351,Caledonia,Carmelo's Italian Pizza,3555 68th St SE,[42.84164] [-85.577],MI
352,Cambridge,Wally's Pizza,1860 E Wheeling Ave,[40.026986] [-81.57295906],OH
353,Camp Hill,Two Cousins Pizza,32 Erford Rd,[40.256527] [-76.915238],PA
354,Campbell,La Pizzeria Italian,373 E Campbell Ave,[37.287175] [-121.94331],CA
355,Canandaigua,Faro's New York style pizza,395 S Main St,[42.882185] [-77.276833],NY
356,Canoga Park,California Pizza Kitchen,6600 Topanga Canyon Blvd,[34.1905] [-118.6049],CA
357,Canonsburg,Big Fella's Pizza and Wings,47 E Pike St,[40.25916276] [-80.18519348],PA
358,Canton,Curry on Crust,45490 Ford Rd,[42.322403] [-83.488782],MI
359,Canton,Johnny's Pizza,6124 Hickory Flat Hwy,[34.176702] [-84.420458],GA
360,Canyon Country,Chi Chi's Pizza,27117 Sierra Hwy,[34.40726] [-118.46299],CA
361,Cape Coral,Crust Pizzeria,4703 SW 16th Pl,[26.564562] [-82.00746],FL
362,Cape Coral,Papa Joe's,814 Cape Coral Pkwy E,[26.562656] [-81.95717],FL
363,Carle Place,Angelo's Pizza,215 Glen Cove Rd,[40.747841] [-73.617626],NY
364,Carlisle,Seve-n-Dots Publik Pizza Place,40 E Louther St,[40.20265] [-77.18766],PA
365,Carlsbad,New York Pizzeria,3067 Roosevelt St,[33.159453] [-117.347199],CA
366,Carlsbad,Pizza Inn,3005 National Parks Hwy,[32.3888] [-104.2206],NM
367,Carlsbad,That Pizza Place,2622 El Camino Real Ste B,[33.1759] [-117.3258],CA
368,Carmel,Bella Pizzeria,1450 Clay Terrace Blvd.,[39.998894] [-86.130104],IN
369,Carmel,Bazbeaux Pizza,111 W Main St,[39.9782] [-86.12872],IN
370,Carmel,Papa Murphy's,1950 E Greyhound Pass,[40.004602] [-86.125084],IN
371,Carmichael,Mountain Mikes Pizza,4141 Manzanita Ave,[38.640666] [-121.328287],CA
372,Carrollton,Brothers Pizza,2002 N Interstate 35E,[32.969013] [-96.918969],TX
373,Carrollton,Palladino's Pizza,342 Maple St,[33.577] [-85.0801],GA
374,Carrollton,Papa John's Pizza,1214 Maple Street,[33.5717] [-85.0921],GA
375,Carrollton,Pie Five Pizza Co,3400 E Hebron Pkwy,[33.025489] [-96.842623],TX
376,Carson,Papa Johns Pizza,105 W Carson St,[33.832072] [-118.278728],CA
377,Cary,New York Pizza,2763 NC 55 Hwy,[35.78596] [-78.87249],NC
378,Cary,The Original NY Pizza,6458 Tryon Rd,[35.745533] [-78.76221],NC
379,Cary,Ruckus Pizza Pasta & Spirits,2025 Renaissance Park Pl,[35.826122] [-78.77087],NC
380,Casselberry,Hungry Howie's Pizza,430 SR436,[28.626213] [-81.316351],FL
381,Casselberry,Anthony's NY Pizza,1455 State Road 436,[28.6281513] [-81.31848335],FL
382,Castle Rock,Papa John's Pizza,390 S Wilcox St Ste E,[39.36597] [-104.86183],CO
383,Castle Rock,Papa John's Pizza,390 S Wilcox St,[39.36596501] [-104.8618088],CO
384,Cedar Park,Yaghis Pizzeria,920 N Vista Ridge Blvd Ste 550,[30.531015] [-97.791043],TX
385,Cedar Park,Buca di Beppo Italian Restaurant,11200 Lakeline Mall Dr,[30.47077] [-97.806219],TX
386,Cedar Park,Niki's Pizza and Pasta,508 N Bell Blvd,[30.51521712] [-97.82589885],TX
387,Cedar Rapids,Little Caesars Pizza,2210 Edgewood Rd SW Ste 500,[41.95758] [-91.71659],IA
388,Central Valley,Cosimos Restaurant & Bar,100 Route 32,[41.32077786] [-74.12579386],NY
389,Champaign,Papa Johns Pizza,106 E Green St,[40.110357] [-88.238016],IL
390,Champaign,Monical's Pizza,103 W Kirby Ave,[40.0978] [-88.2457],IL
391,Chandler,Pizza On 87,1368 N Arizona Ave Ste 101,[33.327123] [-111.842775],AZ
392,Chandler,Barro's Pizza,950 E Riggs Rd,[33.220435] [-111.824894],AZ
393,Chandler,NYPD Pizza,2580 W Chandler Blvd,[33.30693154] [-111.8855488],AZ
394,Chandler,Rosati's Pizza,1050 E Ray Rd,[33.32082] [-111.82304],AZ
395,Chantilly,Manhattan Pizza,25042 Riding Plz,[38.92428453] [-77.5190882],VA
396,Chappaqua,Mario's Pizzeria,13 King St,[41.15918] [-73.77237],NY
397,Charleston,Mia Pomodori,212 Rutledge Ave,[32.789445] [-79.946849],SC
398,Charleston,Sabatinos NYC Pizza,151 Calhoun St,[32.785633] [-79.936788],SC
399,Charleston,Pies and Pints Pizzeria,222 Capitol St,[38.350354] [-81.634295],WV
400,Charleston,Baronis New York Pizza,1975 Magwood Dr,[32.813331] [-80.041824],SC
401,Charleston,Paisano's Pizza Grill,1798 Ashley Road,[32.802518] [-80.01702],SC
402,Charleston,Pizzeria Di Giovanni,40 N Market St,[32.781387] [-79.928452],SC
403,Charleston,Mama Rosa's Pizzeria,527 Washington St W,[38.36390177] [-81.64335251],WV
404,Charlotte,Angelas Italian Restaurant,9705 Mintworth Ave,[35.172024] [-80.708379],NC
405,Charlotte,Wolfman Pizza,106 S Sharon Amity Rd,[35.176051] [-80.799612],NC
406,Charlotte,Teddys Pizza,5820 E Wt Harris Blvd,[35.2357] [-80.7352],NC
407,Charlotte,Jets Pizza,1607 Montford Dr,[35.171] [-80.8494],NC
408,Charlotte,Pie In The Sky Pizza,320 S Tryon St,[35.2257] [-80.8464],NC
409,Charlotte,Intermezzo,1427 E 10th St,[35.2221] [-80.8216],NC
410,Charlotte,Papa John's Pizza,8016 Cambridge Commons Dr Ste B,[35.2524] [-80.6575],NC
411,Charlotte,Librettos Pizzeria,1600 E Woodlawn Rd,[35.171735] [-80.849272],NC
412,Charlotte,Brixx Wood Fired Pizza,9820 Rea Rd,[35.034582] [-80.805938],NC
413,Charlotte,Zucca Pizza Tavern,2000 South Blvd,[35.209278] [-80.860679],NC
414,Charlotte,Libretto's Pizzeria,15205 John J Delaney Dr Ste A,[35.054154] [-80.846687],NC
415,Charlotte,TRUE Crafted Pizza,7828 Rea Rd,[35.06116152] [-80.81696533],NC
416,Charlotte,Hungry Howie's Pizza,1707 Sardis Rd N,[35.139486] [-80.73718],NC
417,Charlotte,Due Amici Pizzeria,5346 Prosperity Church Rd,[35.367018] [-80.786328],NC
418,Charlotte,The Pizza Peel and Tap Room,1600 Central Ave,[35.22007] [-80.811993],NC
419,Charlotte,Tony's Pizza,1605 Galleria Blvd,[35.135172] [-80.736568],NC
420,Charlotte,Hawthorne's New York Pizza & Bar,4100 Carmel Rd,[35.11671417] [-80.82542896],NC
421,Charlotte,Hawthorne's New York Pizza & Bar,1701 E 7th St,[35.21591371] [-80.82177247],NC
422,Charlottesville,Brixx Wood Fired Pizza,1133 Emmet St N,[38.051919] [-78.500545],VA
423,Chattanooga,Pronis,5001 Brainerd Rd,[35.012252] [-85.225615],TN
424,Chattanooga,Lupi's,406 Broad St,[35.051879] [-85.310575],TN
425,Chattanooga,Crust Pizza,103 Signal Mountain Rd,[35.08433321] [-85.3183446],TN
426,Cherryville,Pizza Como North,4209 Lehigh Dr,[40.754196] [-75.539535],PA
427,Chesapeake,Casa Di Costanzo Pizza Llc,1464 Mount Pleasant Rd,[36.715] [-76.1877],VA
428,Chesterfield,East Coast Pizza,17304 Chesterfield Airport Rd,[38.668069] [-90.60108],MO
429,Chesterton,Gelsosomo's Pizzeria,371 Indian Boundary Rd,[41.6168] [-87.047],IN
430,Cheswick,Pizza Hut,1300 Pittsburgh St,[40.541076] [-79.802482],PA
431,Chicago,Lonnies Pizzeria,8343 W Irving Park Rd,[41.951933] [-87.836669],IL
432,Chicago,Lucky Vitos Pizzeria,2171 N Milwaukee Ave,[41.920797] [-87.693446],IL
433,Chicago,Petes Pizzeria 2,5847 W Montrose Ave,[41.960334] [-87.773985],IL
434,Chicago,Cafe Luigi,2548 N Clark St,[41.929078] [-87.642571],IL
435,Chicago,Bongiornos Italian Deli Pizzeria,405 N Wabash Ave,[41.889343] [-87.626216],IL
436,Chicago,Eastern Style Pizza,2911 W Touhy Ave,[42.012014] [-87.702555],IL
437,Chicago,Pizza Nova,558 W 43rd St,[41.81637] [-87.63956],IL
438,Chicago,Bacci Pizzeria,950 W Addison St,[41.9475] [-87.65392],IL
439,Chicago,Lou Malnati's Pizzeria,1120 N State St,[41.90263] [-87.62868],IL
440,Chicago,Santullos Eatery,1943 W North Ave,[41.9105] [-87.676736],IL
441,Chicago,Papa John's Pizza,4606 W Diversey Ave,[41.931592] [-87.741939],IL
442,Chicago,Pizza East,113125 N Green St,[41.883746] [-87.648281],IL
443,Chicago,Coalfire,1321 W Grand Ave,[41.891039] [-87.659182],IL
444,Chicago,Gino's East,8725 W Higgins Rd,[41.985371] [-87.845028],IL
445,Chicago,Pompei,1531 W Taylor St,[41.869288] [-87.664751],IL
446,Chicago,Bacci Pizzeria,2343 W Chicago Ave,[41.895718] [-87.686056],IL
447,Chicago,The Warehouse Bar and Pizzeria,1419 W Fullerton ave,[41.92513] [-87.664113],IL
448,Chicago,Roots Handmade Pizza,1924 W Chicago Ave,[41.89621] [-87.675651],IL
449,Chicago,Pizzeria del Mercato,1154 W Fulton Mkt,[41.886667] [-87.656558],IL
450,Chicago,Armand's Pizzaria,6694 N Northwest Hwy,[42.002694] [-87.816091],IL
451,Chicago,Persona Wood Fired Pizzeria,170 W Washington St,[41.883433] [-87.633228],IL
452,Chicago,The Happy Camper,1209 N Wells St,[41.904234] [-87.634307],IL
453,Chicago,Sofia's Pizza,1132 W Taylor St,[41.869442] [-87.65549],IL
454,Chicago,Chicago's Pizza and Pasta,1919 W Montrose Ave,[41.96149721] [-87.67677132],IL
455,Chicago,J.B. Alberto's Pizza,1324 W Morse Ave,[42.00793] [-87.66483],IL
456,Chicago,Stella Barra Pizzeria,1954 N Halsted St,[41.917618] [-87.64851],IL
457,Chicago,Gino's East,2801 N Lincoln Ave,[41.932777] [-87.65895],IL
458,Chicago,Panino's,3702 N Broadway St,[41.949273] [-87.648615],IL
459,Chicago,Ranalli's,1512 W Berwyn Ave,[41.978075] [-87.66882984],IL
460,Chicago,Salerno's Restaurant,1201 W Grand Ave,[41.89086] [-87.65759],IL
461,Chicago,Giordano's Pilsen,1401 W 18th St,[41.857716] [-87.6615],IL
462,Chicago,Angelo's Pizza,3026 W Montrose Ave,[41.96125248] [-87.70437452],IL
463,Chicago,John's Pizzeria,2104 N Western Ave,[41.92064] [-87.68759],IL
464,Chicago,Falco's,2806 W 40th Pl,[41.820146] [-87.69470172],IL
465,Chicago,Apart Pizza Company,5624 N Broadway St,[41.984474] [-87.660095],IL
466,Chicago,Primos Chicago Pizza Pasta and Subs,816 W Van Buren St,[41.87677029] [-87.64841847],IL
467,Chicago,Lina's Pizza,3132 S Morgan,[41.836956] [-87.65115232],IL
468,Chicago,Beggers Pizza,8100 S Stony Island Ave,[41.74784] [-87.58587],IL
469,Chicago,Gullivers Pizza and Pub Chicago,2727 W Howard St,[42.01927635] [-87.69827824],IL
470,Chicago,Naty's Pizza,1757 W Chicago Ave,[41.895775] [-87.671906],IL
471,Chicago,Giordano's,700 E Grand Ave,[41.89175] [-87.60965],IL
472,Chico,Pop's Wood Fired Pizza,2031 Forest Ave,[39.7248] [-121.8011],CA
473,Chico,Celestino's New York Pizza,101 Salem St,[39.72965] [-121.84286],CA
474,Chincoteague Island,Famous Pizza & Sub Shoppe,6689 Maddox Blvd,[37.927836] [-75.35564],VA
475,Chino,Chino Hills Pizza Company,14550 Pipeline Ave,[33.988522] [-117.716086],CA
476,Cibolo,Catalanos Pizzeria,102 N Main St,[29.561918] [-98.227211],TX
477,Cincinnati,Mios Pizzeria,3703 Paxton Ave,[39.144883] [-84.432685],OH
478,Cincinnati,LaRosas Pizzeria,4836 Cooper Rd,[39.231333] [-84.375957],OH
479,Cincinnati,Roc-a-Fellas,11055 Reading Rd,[39.2694] [-84.4134],OH
480,Cincinnati,Werkhaus Pizza,3637 Werk Rd,[39.141548] [-84.624665],OH
481,Cincinnati,Lucy Blue Pizza,1126 Main St,[39.108612] [-84.511246],OH
482,Cincinnati,LaRosa's Pizzeria,5806 Cheviot Rd,[39.19909] [-84.600951],OH
483,Cincinnati,LaRosa's Pizzeria,11711 Princeton Pike,[39.28865] [-84.46943],OH
484,Cincinnati,LaRosa's Pizzeria,891 W Galbraith Rd,[39.215063] [-84.517515],OH
485,Cincinnati,LaRosa's Pizzeria,2717 Vine St,[39.131001] [-84.509758],OH
486,Cincinnati,Pizza Hut,3972 Red Bank Road,[39.145938] [-84.403987],OH
487,Cincinnati,Mio's Pizzeria,6930 Madisonville Rd,[39.145886] [-84.37496],OH
488,Cincinnati,Sbarro,7875 Montgomery Rd,[39.204368] [-84.377994],OH
489,Circleville,Pizza Cottage,23401 US 23,[39.5888] [-82.9546],OH
490,Clarence Center,Clarence Pizza Company,6235 Goodrich Rd,[43.016838] [-78.637115],NY
491,Clarks Summit,Rosario's Pizzeria,100 Highland Ave,[41.495688] [-75.704594],PA
492,Clarksville,Papa John's Pizza,1483 Madison St,[36.52092632] [-87.33135603],TN
493,Clearwater,Westshore Pizza XIV,1969 Drew St,[27.9677018] [-82.75553584],FL
494,Clearwater,Cafe Milano Italian Restaurant and Pizzeria,105 N Fort Harrison Ave,[27.96724] [-82.79973],FL
495,Clemson,Peppinos Pizzeria,384 College Ave,[34.684486] [-82.836888],SC
496,Clermont,Calabria's,13900 County Road 455,[28.54811878] [-81.68140047],FL
497,Cleveland,Vicinato Pizzeria,5080 Mayfield Rd,[41.519392] [-81.496914],OH
498,Cleveland,Lupis Pizza,2382 N Ocoee St,[35.177025] [-84.86655],TN
499,Cleveland,Gabriels,2625 Keith St NW,[35.18558] [-84.872179],TN
500,Cleveland,Rascal House,1836 Euclid Ave,[41.501097] [-81.678001],OH
501,Cleveland,Pizza Pan,1800 Euclid Ave,[41.50112] [-81.678693],OH
502,Cleveland,P Jay's Pizza,5859 Ridge Rd,[41.4033] [-81.7344],OH
503,Cleveland,Pizza Pan,8232 Carnegie Ave,[41.503402] [-81.629316],OH
504,Cleveland,Geraci's,2266 Warrensville Center Rd,[41.498216] [-81.536786],OH
505,Cleveland,Mamma Santa's Pizzeria,12301 Mayfield Rd,[41.508802] [-81.59724],OH
506,Cleveland,Dina's Pizza & Pub,5701 Memphis Ave,[41.43994] [-81.72634],OH
507,Cleveland,Papa Nick's,11534 Clifton Blvd,[41.48745138] [-81.76733208],OH
508,Cleveland,Geppetto's,4312 Ridge Rd,[41.43924378] [-81.73568205],OH
509,Cleveland,Sainato's Restaurant,1861 Columbus Rd,[41.48918574] [-81.70059467],OH
510,Clinton Township,Jet's Pizza,37525 Harper Ave,[42.572904] [-82.871468],MI
511,Clinton Township,Green Lantern Pizza,41160 Hayes Rd,[42.59836166] [-82.97165383],MI
512,Clinton Township,Detroit Style Pizza Company,40750 Garfield Rd,[42.59686289] [-82.95162349],MI
513,Clinton Township,Hungry Howie's Pizza,20824 Hall Rd,[42.62802] [-82.91336],MI
514,Clinton Township,Domino's Pizza,41880 Garfield Rd,[42.60476297] [-82.95233488],MI
515,Clovis,Papa John's,705 E 21st St,[34.41913529] [-103.19758],NM
516,Clute,All Star Pizza,804 Brazospark Dr,[29.013555] [-95.418407],TX
517,Coatesville,Jacks Pizza,1948 E Lincoln Hwy,[39.989037] [-75.786679],PA
518,Cocoa,Ryan's Village Pizza and Pub,405 Delannoy Ave,[28.35505825] [-80.7242542],FL
519,Coeur d'Alene,Mac Kenzie River Pizza Co,405 W Canfield Ave,[47.7335] [-116.7935],ID
520,Collegeville,Roccos Brick Oven Pizzeria,201 Second Ave,[40.181022] [-75.452243],PA
521,Colorado Springs,Extreme Pizza,7340 N Academy Blvd,[38.93866] [-104.798805],CO
522,Colorado Springs,Louies Pizza,5996 Stetson Hills Blvd,[38.913371] [-104.716324],CO
523,Colorado Springs,Louie's Pizza,333 N Tejon St,[38.83927] [-104.82276],CO
524,Columbia,Gumby's Pizza,1201 E Broadway,[38.9518] [-92.3241],MO
525,Columbia,Shakespeare's Pizza,3911 Peachtree Dr,[38.90672] [-92.33765],MO
526,Columbia,Sbarro,2300 Bernadette Dr,[38.965843] [-92.37435],MO
527,Columbia,Village Idiot,2009 Devine St,[33.998814] [-81.016823],SC
528,Columbia,Joe Boccardi's,117 S Main St,[38.44239653] [-90.19928813],IL
529,Columbus,The Pub in Gahanna,207 W Johnstown Rd,[40.017252] [-82.885452],OH
530,Columbus,Fabians,691 N High St,[39.976548] [-83.00346],OH
531,Columbus,Grandads Pizza,1254 W 3rd Ave,[39.984888] [-83.039122],OH
532,Columbus,Formaggio,20 E 13th Ave,[39.998] [-83.0069],OH
533,Columbus,Massey's Pizza,261 Lincoln Cir,[40.017825] [-82.873346],OH
534,Columbus,Mikey's Late Night Slice,15 E Duncan St,[40.015651] [-83.011279],OH
535,Columbus,Rotolo's Pizza,2163 W Dublin Granville Rd,[40.089641] [-83.048094],OH
536,Columbus,Marco's Pizza,2820 Stelzer,[40.032842] [-82.909949],OH
537,Columbus,Massey's Pizza,1951 E Dublin Granville Rd,[40.086418] [-82.966373],OH
538,Columbus,Iaconos Italian Restaurant,4452 Kenny Rd,[40.049343] [-83.049356],OH
539,Columbus,Romeo's Pizza,6928 E Broad St,[39.98267] [-82.817584],OH
540,Columbus,JT's Pizza & Pub,2390 W Dublin Granville Rd,[40.09033025] [-83.0534091],OH
541,Columbus,Donatos Pizza,920 N High St,[39.981262] [-83.00408],OH
542,Concord,Papa Johns Pizza,10050 Edison Square Dr NW,[35.43066] [-80.676979],NC
543,Concord,Giovanni's Pizza,559 Winecoff School Rd,[35.44303487] [-80.62424435],NC
544,Conshohocken,Franzone's,1940 Main Ave,[40.096012] [-75.29329],PA
545,Conway,Larrys Pizza Conway,1068 Markham St,[35.092948] [-92.439413],AR
546,Conyers,Ci Ci's Pizza,1485 GA138 SE,[33.650954] [-84.008799],GA
547,Conyers,Johnny's pizza,2445 Salem Rd SE,[33.62386921] [-83.97796314],GA
548,Coopersburg,Carlo's Pizza,7001 N Route 309,[40.5167] [-75.3864],PA
549,Copiague,Albert's Pizza Shop,1642 Great Neck Rd,[40.679253] [-73.399055],NY
550,Coralville,Falbo Bros Pizzeria,2100 Norcor Ave,[41.703666] [-91.586744],IA
551,Coraopolis,Angelia's Pizza,202 Moon Clinton Rd,[40.5131] [-80.2232],PA
552,Cornelius,Bellacinos Pizza Grinders,20129 N Main St,[35.483189] [-80.859475],NC
553,Cornelius,Mama's Pizza Express,19741 S Main St,[35.47867] [-80.856549],NC
554,Corning,Rico's Pizza,92 W Market St,[42.143876] [-77.058249],NY
555,Corolla,Cosmos Pizzeria,110 Corolla Light Town Center,[36.373501] [-75.82795],NC
556,Coronado,Village Pizzeria,1206 Orange Ave,[32.6836] [-117.1789],CA
557,Corpus Christi,Pizza State,6133 South Alameda St,[27.718476] [-97.334321],TX
558,Corpus Christi,Peter Piper Pizza,4938 S Staples St,[27.71003] [-97.367294],TX
559,Cortland,Pudgies Pizza,75 N Main St,[42.605725] [-76.180636],NY
560,Costa Mesa,Pitfire Artisan Pizza,353 E 17th St,[33.631669] [-117.913761],CA
561,Costa Mesa,Nick's Pizza Ristorante,2300 Harbor Blvd,[33.657205] [-117.919052],CA
562,Covington,Johnnys Pizza Covington,10176 Carlin Dr,[33.5703254] [-83.85186577],GA
563,Cranberry Township,Champs Pizza House,1183 Freedom Rd,[40.68324] [-80.124745],PA
564,Crown Point,Papa Johns Pizza,219 N Main St Ste B,[41.421409] [-87.365079],IN
565,Cudahy,Papa Luigi's Pizza,3475 E Layton Ave,[42.9588] [-87.8628],WI
566,Cumming,Mia's Pizza and Eats,911 Market Place Blvd,[34.18102] [-84.132585],GA
567,Cumming,Jersey Boyz Pizza,5456 Bethelview Rd,[34.172527] [-84.18911],GA
568,Cupertino,Gumba's,21678 Stevens Creek Blvd,[37.3228] [-122.0536],CA
569,Cupertino,212 New York Pizza,19998 Homestead Rd,[37.337431] [-122.022773],CA
570,Cypress,Candelari's Pizzeria,25680 Highway 290,[29.97574] [-95.69769],TX
571,Dacula,Luigi's Pizza Restaurant Of Dacula,2300 Liam Ave,[34.004447] [-83.914164],GA
572,Dallas,Tomato Pie,11661 Preston Rd,[32.909301] [-96.805238],TX
573,Dallas,Campisis Restaurant Lovers Lane,5405 W Lovers Ln,[32.851471] [-96.820177],TX
574,Dallas,Lovers Pizza Pasta,5605 W Lovers Ln,[32.851216] [-96.817224],TX
575,Dallas,Campisis Restaurant Downtown Dallas,1520 Elm St,[32.781522] [-96.798556],TX
576,Dallas,Pizza By Marco,10720 Preston Rd,[32.89433131] [-96.80348659],TX
577,Dallas,Divino's Pizza,4201 Gaston Ave Ste 104,[32.795178] [-96.776294],TX
578,Dallas,Dante's Italian Eatery,208 N Market St,[32.780666] [-96.806166],TX
579,Dallas,Pizza Getti,3320 N Buckner Blvd,[32.805307] [-96.682202],TX
580,Dallas,Pie Five Pizza Co.,15250 Dallas Pkwy,[32.956888] [-96.820291],TX
581,Dallas,Italia Express,4000 Cedar Springs Rd,[32.8113] [-96.811084],TX
582,Dallas,Campisi's Restaurant - The Egyptian Lounge,5610 E Mockingbird Ln,[32.836311] [-96.771643],TX
583,Dallas,Olivella's,3406 Mcfarlin Blvd,[32.844062] [-96.787749],TX
584,Dallas,LA Gourmet Pizza,2709 McKinney Ave,[32.79818] [-96.80163],TX
585,Dallas,Carmine's Pizzeria,2006 San Jacinto St,[32.786255] [-96.79813],TX
586,Dallas,Piggie Pies Pizza & Pasta,5315 Greenville Ave,[32.85168157] [-96.77007914],TX
587,Dallas,Sal's Pizzeria,308 Main St,[33.92274] [-84.840521],GA
588,Daly City,Round Table Pizza,1901 Junipero Serra Blvd,[37.701907] [-122.470537],CA
589,Dana Point,Stuft Pizza Brewing,24821 Del Prado,[33.46645] [-117.697557],CA
590,Danville,Ascona Pizza Company,3414 Camino Tassajara,[37.798517] [-121.919752],CA
591,Danville,Melo's Pizza & Pasta,664 San Ramon Valley Blvd,[37.8127556] [-121.9945755],CA
592,Davenport,Pizzanos Pizza Grinderz,126 California Blvd,[28.292761] [-81.665247],FL
593,Davidson,Fuel Pizza,402 S Main St,[35.4963] [-80.8525],NC
594,Davison,Pizza Company,8435 Davison Rd,[43.035615] [-83.540441],MI
595,Davison,John's Pizzeria,9010 Davison Rd,[43.033853] [-83.536812],MI
596,Dayton,Marion's Piazza,3443 N Dixie Dr,[39.7972] [-84.1938],OH
597,Dayton,Marion's Piazza,8991 Kingsridge Dr,[39.6304] [-84.2246],OH
598,Dayton,Cassanos,1200 Brown St Ste 110,[39.741924] [-84.182385],OH
599,Dayton,Little Caesar's Pizza,5330 Salem Ave,[39.821965] [-84.28839],OH
600,Dayton,Pizza Factory,1101 Wayne Ave,[39.75114] [-84.17597],OH
601,Decatur,Pizza King Decatur,310 E Monroe St,[40.831812] [-84.919766],IN
